Hour,Coin($),Credit($),Smart Card($),Coin (%),Credit (%),Smart Card (%),Total ($),Total Time Purchased (hours)
00:00:00,92.60,10.00,0.00,90.25,9.75,0.00,102.60,76.42
01:00:00,56.35,0.00,0.00,100.00,0.00,0.00,56.35,43.18
02:00:00,49.35,5.25,0.00,90.38,9.62,0.00,54.60,44.39
03:00:00,31.05,4.00,0.00,88.59,11.41,0.00,35.05,25.34
04:00:00,21.65,0.00,0.00,100.00,0.00,0.00,21.65,21.96
05:00:00,52.30,4.75,0.00,91.67,8.33,0.00,57.05,240.36
06:00:00,236.45,23.75,0.00,90.87,9.13,0.00,260.20,979.72
07:00:00,"2,679.65",909.00,0.00,74.67,25.33,0.00,"3,588.65","7,736.34"
08:00:00,"11,790.25","4,033.75",0.00,74.51,25.49,0.00,"15,824.00","21,084.04"
09:00:00,"16,074.40","5,063.50",0.00,76.05,23.95,0.00,"21,137.90","20,953.70"
10:00:00,"15,915.55","4,783.25",0.00,76.89,23.11,0.00,"20,698.80","20,499.83"
11:00:00,"19,320.35","6,614.75",0.00,74.49,25.51,0.00,"25,935.10","25,667.40"
12:00:00,"21,246.80","7,766.50",0.00,73.23,26.77,0.00,"29,013.30","28,707.85"
13:00:00,"22,480.00","7,604.00",0.00,74.72,25.28,0.00,"30,084.00","29,742.17"
14:00:00,"17,250.35","5,484.75",0.00,75.88,24.12,0.00,"22,735.10","22,424.70"
15:00:00,"17,969.50","5,166.50",0.00,77.67,22.33,0.00,"23,136.00","22,834.68"
16:00:00,"16,525.45","4,608.25",0.00,78.19,21.81,0.00,"21,133.70","20,949.08"
17:00:00,"10,658.85","2,607.25",0.00,80.35,19.65,0.00,"13,266.10","13,152.50"
18:00:00,"1,470.15",460.50,0.00,76.15,23.85,0.00,"1,930.65","1,849.90"
19:00:00,839.70,217.50,0.00,79.43,20.57,0.00,"1,057.20",987.02
20:00:00,452.35,85.00,0.00,84.18,15.82,0.00,537.35,499.06
21:00:00,298.30,50.50,0.00,85.52,14.48,0.00,348.80,317.67
22:00:00,213.70,39.00,0.00,84.57,15.43,0.00,252.70,236.27
23:00:00,142.80,12.75,0.00,91.80,8.20,0.00,155.55,124.94
