Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
MIL0001,341.00,287.10,86.00,183.50,0.00,0.00
MIL0002,306.00,211.75,87.00,174.75,0.00,0.00
MIL0003,332.00,255.80,84.00,168.50,0.00,0.00
MIL0004,311.00,201.45,81.00,175.50,0.00,0.00
MIL0005,268.00,219.10,81.00,159.50,0.00,0.00
MIL0006,309.00,207.10,56.00,125.25,0.00,0.00
MIL0007,208.00,160.20,74.00,164.50,0.00,0.00
MIL0008,240.00,148.50,50.00,95.75,0.00,0.00
MIL0009,180.00,133.15,46.00,90.25,0.00,0.00
MIL0010,194.00,145.85,34.00,78.00,0.00,0.00
MIL0011,159.00,105.10,33.00,69.75,0.00,0.00
MIL0012,109.00,80.60,26.00,61.25,0.00,0.00
MIL0013,101.00,80.90,29.00,58.50,0.00,0.00
MIL0014,88.00,56.05,19.00,57.00,0.00,0.00
MIL0015,78.00,55.90,17.00,39.00,0.00,0.00
MIL0016,57.00,48.80,23.00,54.50,0.00,0.00
MIL0017,61.00,41.90,12.00,30.75,0.00,0.00
MIL0018,28.00,36.05,9.00,31.00,0.00,0.00
MIL0019,42.00,35.95,15.00,18.25,0.00,0.00
MIL0020,47.00,41.65,11.00,29.00,0.00,0.00
MIL0021,36.00,31.60,8.00,19.75,0.00,0.00
MIL0022,47.00,32.85,9.00,30.75,0.00,0.00
MIL0023,35.00,25.25,10.00,25.75,0.00,0.00
MIL0024,25.00,16.95,11.00,33.25,0.00,0.00
MIL0025,20.00,15.05,8.00,27.00,0.00,0.00
MIL0026,27.00,18.35,8.00,26.50,0.00,0.00
MIL0027,32.00,33.60,4.00,11.75,0.00,0.00
MIL0028,35.00,30.60,10.00,22.50,0.00,0.00
MIL0029,41.00,25.55,5.00,12.50,0.00,0.00
MIL0030,38.00,25.35,10.00,26.50,0.00,0.00
MIL0031,43.00,28.50,4.00,9.00,0.00,0.00
MIL0032,73.00,47.00,22.00,47.50,0.00,0.00
MIL0033,113.00,83.60,17.00,30.50,0.00,0.00
PIN0015,263.00,179.90,35.00,52.50,0.00,0.00
PIN0019,252.00,175.20,27.00,37.25,0.00,0.00
PIN0023,309.00,234.95,40.00,61.50,0.00,0.00
PIN0027,331.00,236.65,53.00,84.00,0.00,0.00
PIN0031,293.00,221.40,39.00,58.25,0.00,0.00
PIN0034,179.00,109.70,33.00,55.50,0.00,0.00
PIN0035,258.00,175.35,54.00,82.75,0.00,0.00
PIN0038,345.00,250.95,35.00,57.00,0.00,0.00
PIN0039,154.00,103.45,35.00,56.75,0.00,0.00
PIN0042,161.00,109.45,23.00,31.00,0.00,0.00
PIN0043,103.00,63.65,7.00,12.25,0.00,0.00
PIN0046,213.00,163.65,43.00,68.75,0.00,0.00
PIN0050,235.00,170.05,36.00,56.50,0.00,0.00
PIN0054,146.00,105.40,37.00,57.75,0.00,0.00
PIN0058,171.00,135.70,33.00,48.50,0.00,0.00
PIN0062,129.00,97.40,24.00,39.25,0.00,0.00
PP0099,355.00,233.40,47.00,62.75,0.00,0.00
PP0101,259.00,170.20,40.00,60.00,0.00,0.00
PP0103,250.00,155.10,55.00,77.50,0.00,0.00
PP0105,356.00,229.05,62.00,76.25,0.00,0.00
PP0107,399.00,255.00,53.00,67.25,0.00,0.00
PP0109,386.00,250.85,63.00,78.75,0.00,0.00
PP0111,482.00,311.75,63.00,82.50,0.00,0.00
PP0113,186.00,134.85,31.00,41.75,0.00,0.00
PP0117,148.00,94.45,19.00,24.75,0.00,0.00
RYL0007,93.00,60.60,24.00,38.75,0.00,0.00
RYL0011,53.00,39.65,10.00,15.50,0.00,0.00
RYL0015,65.00,41.55,6.00,9.00,0.00,0.00
RYL0019,64.00,38.20,9.00,15.00,0.00,0.00
RYL0023,41.00,30.75,10.00,16.50,0.00,0.00
RYL0027,45.00,30.40,15.00,25.25,0.00,0.00
RYL0031,56.00,40.40,15.00,23.00,0.00,0.00
RYL0035,55.00,39.15,13.00,21.25,0.00,0.00
RYL0039,75.00,55.80,20.00,32.50,0.00,0.00
RYL0043,88.00,56.35,20.00,31.00,0.00,0.00
RYL0047,81.00,52.30,26.00,44.50,0.00,0.00
RYL0051,94.00,66.55,26.00,42.25,0.00,0.00
RYL0055,79.00,53.85,25.00,41.50,0.00,0.00
RYL0059,106.00,65.30,44.00,69.00,0.00,0.00
RYL0063,147.00,77.60,48.00,73.50,0.00,0.00
RYL0067,67.00,36.45,26.00,34.25,0.00,0.00
RYL0071,133.00,76.45,31.00,50.00,0.00,0.00
RYL0075,166.00,91.50,20.00,28.75,0.00,0.00
RYL0079,146.00,75.10,14.00,20.00,0.00,0.00
RYL0083,104.00,56.15,11.00,16.50,0.00,0.00
RYL0087,154.00,88.35,30.00,45.75,0.00,0.00
RYL0100,226.00,139.55,14.00,23.00,0.00,0.00
RYL0102,182.00,110.15,17.00,21.25,0.00,0.00
RYL0104,126.00,78.80,9.00,12.75,0.00,0.00
RYL0106,111.00,73.15,10.00,11.75,0.00,0.00
RYL0108,138.00,92.10,9.00,12.00,0.00,0.00
RYL0110,125.00,78.75,7.00,10.00,0.00,0.00
RYL0112,138.00,94.65,15.00,23.75,0.00,0.00
RYL0114,172.00,112.15,22.00,27.00,0.00,0.00
RYL0116,240.00,170.30,27.00,37.00,0.00,0.00
RYL0123,212.00,115.90,15.00,19.50,0.00,0.00
RYL0125,153.00,103.70,9.00,10.50,0.00,0.00
RYL0127,84.00,50.65,12.00,19.25,0.00,0.00
RYL0129,151.00,92.70,16.00,23.75,0.00,0.00
RYL0131,162.00,102.80,9.00,12.25,0.00,0.00
RYL0133,206.00,132.85,16.00,27.50,0.00,0.00
RYL0135,128.00,93.15,10.00,12.50,0.00,0.00
RYL0137,175.00,110.35,10.00,13.25,0.00,0.00
RYL0139,183.00,118.70,11.00,15.00,0.00,0.00
RYL0141,135.00,91.10,5.00,9.25,0.00,0.00
SCE0105,75.00,49.05,17.00,27.75,0.00,0.00
SCE0107,26.00,16.60,14.00,25.00,0.00,0.00
SCE0112,114.00,81.60,1.00,1.00,0.00,0.00
SCE0114,31.00,19.35,8.00,12.00,0.00,0.00
SCE0116,53.00,28.40,13.00,14.00,0.00,0.00
SCE0119,48.00,33.35,17.00,30.50,0.00,0.00
SCE0130,24.00,14.00,5.00,8.25,0.00,0.00
SCE0134,28.00,18.95,6.00,10.00,0.00,0.00
SCE0138,21.00,18.75,4.00,7.25,0.00,0.00
SCE0210,68.00,42.25,10.00,16.00,0.00,0.00
SCE0213,141.00,79.05,17.00,25.50,0.00,0.00
SCE0215,137.00,67.20,21.00,28.25,0.00,0.00
SCE0217,231.00,128.15,15.00,19.75,0.00,0.00
SCE0219,168.00,88.95,16.00,20.75,0.00,0.00
SCE0301,661.00,329.50,40.00,52.50,0.00,0.00
SCE0303,595.00,278.10,28.00,32.50,0.00,0.00
SCE0305,605.00,274.60,26.00,32.25,0.00,0.00
