Pole,# Cash,$ Cash,# Credit,$ Credit,# Smart Card,$ Smart Card
CRT0000,692.00,469.55,78.00,159.00,0.00,0.00
CRT0002,592.00,397.50,103.00,195.00,0.00,0.00
CRT0006,643.00,411.50,68.00,159.00,0.00,0.00
CRT0010,747.00,459.75,98.00,202.00,0.00,0.00
CRT0011,803.00,492.30,78.00,141.50,0.00,0.00
CRT0014,803.00,501.30,84.00,168.75,0.00,0.00
CRT0015,741.00,464.10,77.00,151.50,0.00,0.00
CRT0018,797.00,507.05,74.00,145.00,0.00,0.00
CRT0019,817.00,514.30,73.00,132.75,0.00,0.00
CRT0022,741.00,475.20,87.00,147.75,0.00,0.00
CRT0023,801.00,477.55,103.00,105.00,0.00,0.00
CRT0026,824.00,502.30,89.00,168.50,0.00,0.00
CRT0027,791.00,434.55,70.00,129.25,0.00,0.00
CRT0031,623.00,347.40,53.00,94.50,0.00,0.00
CRT0035,606.00,319.25,41.00,59.75,0.00,0.00
CRT0120,880.00,524.55,75.00,137.50,0.00,0.00
CRT0122,821.00,532.40,67.00,134.25,0.00,0.00
CRT0124,674.00,458.25,57.00,108.00,0.00,0.00
CRT0126,742.00,500.90,73.00,116.00,0.00,0.00
CRT0128,793.00,555.15,60.00,109.50,0.00,0.00
CRT0201,771.00,530.80,82.00,138.50,0.00,0.00
CRT0203,522.00,393.00,64.00,127.00,0.00,0.00
CRT0205,634.00,472.00,48.00,80.50,0.00,0.00
CRT0207,560.00,401.65,52.00,84.00,0.00,0.00
CRT0209,625.00,480.85,56.00,101.00,0.00,0.00
CRT0211,481.00,394.35,47.00,88.75,0.00,0.00
CRT0213,494.00,408.05,48.00,91.50,0.00,0.00
CRT0215,393.00,329.10,36.00,59.75,0.00,0.00
CRT0217,365.00,314.35,38.00,66.00,0.00,0.00
CRT0219,307.00,248.80,30.00,67.50,0.00,0.00
CRT0221,329.00,269.70,46.00,96.00,0.00,0.00
CRT0223,294.00,245.75,39.00,74.50,0.00,0.00
CRT0225,326.00,283.00,35.00,62.75,0.00,0.00
CRT0227,283.00,217.10,31.00,58.25,0.00,0.00
CRT0229,467.00,330.80,49.00,93.75,0.00,0.00
CRT0238,529.00,430.35,61.00,117.75,0.00,0.00
CRT0240,348.00,303.10,46.00,101.00,0.00,0.00
CRT0242,411.00,353.30,35.00,63.25,0.00,0.00
CRT0244,461.00,369.25,41.00,100.50,0.00,0.00
CRT0246,397.00,299.90,44.00,111.00,0.00,0.00
CRT0248,464.00,324.50,42.00,80.50,0.00,0.00
CRT0250,459.00,257.45,52.00,86.75,0.00,0.00
CRT0252,644.00,297.85,46.00,73.00,0.00,0.00
HIL0207,411.00,331.80,44.00,83.00,0.00,0.00
HIL0209,311.00,260.15,46.00,77.50,0.00,0.00
HIL0211,317.00,283.50,43.00,73.25,0.00,0.00
HIL0212,520.00,392.35,58.00,105.50,0.00,0.00
HIL0213,304.00,247.20,42.00,61.25,0.00,0.00
HIL0214,372.00,301.30,55.00,114.25,0.00,0.00
HIL0215,333.00,292.10,41.00,75.00,0.00,0.00
HIL0216,310.00,244.45,44.00,90.50,0.00,0.00
HIL0218,308.00,255.95,49.00,99.00,0.00,0.00
HIL0220,380.00,300.20,47.00,73.00,0.00,0.00
HIL0221,328.00,277.50,58.00,85.75,0.00,0.00
HIL0222,303.00,238.50,69.00,112.75,0.00,0.00
HIL0223,268.00,207.30,37.00,58.75,0.00,0.00
HIL0224,244.00,192.45,45.00,69.75,0.00,0.00
HIL0225,400.00,307.50,83.00,127.50,0.00,0.00
HIL0226,310.00,253.15,76.00,125.00,0.00,0.00
HIL0227,311.00,242.10,69.00,103.50,0.00,0.00
RAI0019,721.00,566.05,90.00,183.00,0.00,0.00
RAI0021,546.00,428.25,86.00,158.75,0.00,0.00
RAI0023,584.00,448.35,92.00,162.75,0.00,0.00
RAI0025,608.00,452.70,72.00,126.00,0.00,0.00
RAI0027,592.00,484.30,73.00,120.25,0.00,0.00
RAI0029,448.00,343.10,75.00,147.50,0.00,0.00
RAI0033,510.00,384.70,73.00,134.50,0.00,0.00
RAI0035,509.00,375.05,66.00,136.50,0.00,0.00
RAI0037,600.00,464.35,74.00,135.50,0.00,0.00
RAI031,527.00,419.00,76.00,162.75,0.00,0.00
RID0118,429.00,348.20,97.00,157.50,0.00,0.00
RID0122,354.00,308.75,73.00,110.50,0.00,0.00
RID0126,277.00,216.60,77.00,112.75,0.00,0.00
RID0129,366.00,286.45,84.00,130.00,0.00,0.00
RID0130,306.00,262.65,62.00,106.25,0.00,0.00
RID0131,300.00,244.40,69.00,117.25,0.00,0.00
RID0133,152.00,128.60,32.00,46.25,0.00,0.00
RID0134,260.00,215.30,32.00,57.00,0.00,0.00
RID0135,157.00,136.90,26.00,45.75,0.00,0.00
RID0137,92.00,68.70,24.00,34.50,0.00,0.00
RID0138,131.00,116.50,30.00,54.25,0.00,0.00
RID0139,97.00,90.35,22.00,40.00,0.00,0.00
RID0141,139.00,117.60,31.00,52.00,0.00,0.00
RID0142,146.00,112.55,19.00,33.00,0.00,0.00
RID0146,142.00,118.15,16.00,26.00,0.00,0.00
RID0150,147.00,134.80,33.00,57.00,0.00,0.00
RID0206,171.00,132.30,26.00,40.25,0.00,0.00
RID0210,165.00,138.70,26.00,38.25,0.00,0.00
RID0211,275.00,214.80,46.00,64.75,0.00,0.00
RID0214,109.00,81.50,24.00,40.00,0.00,0.00
RID0215,265.00,199.40,40.00,59.25,0.00,0.00
RID0218,188.00,138.40,34.00,58.25,0.00,0.00
RID0219,345.00,235.70,46.00,73.00,0.00,0.00
RID0222,226.00,197.25,33.00,62.00,0.00,0.00
RID0223,417.00,258.65,43.00,62.00,0.00,0.00
RID0226,117.00,87.05,23.00,36.25,0.00,0.00
RID0227,302.00,195.60,50.00,76.00,0.00,0.00
RID0230,161.00,113.55,26.00,37.75,0.00,0.00
RID0231,251.00,172.25,41.00,71.25,0.00,0.00
RID0234,122.00,95.75,18.00,27.00,0.00,0.00
RID0235,271.00,189.35,34.00,47.75,0.00,0.00
RID0238,81.00,51.30,10.00,15.50,0.00,0.00
RID0239,279.00,174.60,28.00,45.00,0.00,0.00
RID0327,40.00,33.50,13.00,26.50,0.00,0.00
RID0328,48.00,27.10,12.00,19.50,0.00,0.00
RID0331,45.00,26.30,7.00,16.50,0.00,0.00
RID0332,40.00,24.75,6.00,11.25,0.00,0.00
RID0335,44.00,31.85,7.00,16.50,0.00,0.00
RID0336,38.00,28.05,3.00,7.75,0.00,0.00
RID0340,34.00,22.75,2.00,5.00,0.00,0.00
RID0343,43.00,22.20,5.00,12.50,0.00,0.00
RID0344,15.00,7.10,2.00,8.00,0.00,0.00
RID0347,37.00,16.65,8.00,15.50,0.00,0.00
RID0348,36.00,18.75,2.00,3.00,0.00,0.00
RID0351,35.00,17.35,8.00,12.75,0.00,0.00
RID0352,15.00,11.30,0.00,0.00,0.00,0.00
RID0355,35.00,22.25,8.00,9.25,0.00,0.00
RID0356,5.00,2.80,2.00,6.00,0.00,0.00
SAR0246,63.00,33.85,5.00,5.50,0.00,0.00
SAR0250,10.00,4.70,0.00,0.00,0.00,0.00
SAR0254,3.00,2.80,2.00,2.00,0.00,0.00
SIE0032,626.00,485.35,143.00,209.50,0.00,0.00
SIE0034,648.00,459.25,143.00,206.25,0.00,0.00
SSI0036,743.00,579.40,137.00,262.75,0.00,0.00
SSI0038,698.00,552.15,130.00,236.50,0.00,0.00
SSI0040,765.00,570.30,115.00,206.75,0.00,0.00
SSI0042,761.00,575.35,104.00,201.50,0.00,0.00
SSI0044,808.00,620.35,102.00,190.25,0.00,0.00
SSI0051,856.00,644.15,117.00,201.00,0.00,0.00
SSI0053,927.00,599.25,113.00,211.75,0.00,0.00
SSI0055,820.00,602.05,133.00,239.25,0.00,0.00
SSI0122,865.00,588.60,102.00,176.00,0.00,0.00
SSI0124,892.00,552.00,114.00,212.25,0.00,0.00
SSI0126,880.00,612.20,108.00,189.75,0.00,0.00
SSI0128,811.00,541.00,118.00,229.50,0.00,0.00
SSI0132,792.00,546.45,100.00,184.25,0.00,0.00
