Type,First Name,Date,Title/Description,Location,Image,,,,,,,,,,,,,,,,,,,,
Sculpture,Charles Ginnever,1979,Gallop-a-Pace,Bicentennial Park - 10 Ralston St,reno.gov/Home/ShowImage?id=280&t,,,,,,,,,,,,,,,,,,,,
Sculpture,Peter Wolf Toth,1986,Wa-Pai-Shone-Tribute to Washoe Paiute & Shoshone,Idlewild Park California Building - 1900 Idlewild Drive,http://www.reno.gov/Home/ShowImage?id=295&t,,,,,,,,,,,,,,,,,,,,
Sculpture,John Battenburg,1992,Creatures of Nevada,Riverwalk - From Virginia to Sierra on South side of river,http://www.reno.gov/Home/ShowImage?id=311&t,,,,,,,,,,,,,,,,,,,,
Sculpture,Roberto Salas,1993,Road Totems of Fish,Miguel Ribera Park - 3905 Neil Road,http://www.reno.gov/Home/ShowImage?id=291&t,,,,,,,,,,,,,,,,,,,,
Sculpture,Mikel Lerxundi,1994,In Search of Equilibrium,Southside School - 190 East Liberty St.,http://www.reno.gov/Home/ShowImage?id=284&t,,,,,,,,,,,,,,,,,,,,
Sculpture,Chris Atcheson,2000,Tribute to Native Americans - Paiute Tribe,Summit Ridge Park - 4560 Summit Ridge Drive,http://www.reno.gov/Home/ShowImage?id=308&t,,,,,,,,,,,,,,,,,,,,
Sculpture,Mary Fuller,2001,Playground Sculptures,Rainbow Ridge Park - 1355 Rainbow Ridge Road,http://www.reno.gov/Home/ShowImage?id=276&t,,,,,,,,,,,,,,,,,,,,
Sculpture,Chris Atcheson,2002,Granite Sculpture and Kiosk,Seminary Park - 1101 Sierra Street,http://www.reno.gov/Home/ShowImage?id=309&t,,,,,,,,,,,,,,,,,,,,
Sculpture,Chris Atcheson,2003,Rattlesnake Mountain Skate Park Sculptures (5 total),Mira Loma Park - 3000 S. McCarran Blvd.,http://www.reno.gov/Home/ShowImage?id=310&t,,,,,,,,,,,,,,,,,,,,
Sculpture,Chris Atcheson,2004,General Jesse Reno,Powning Veterans Memorial Park - 150 S. Virginia Street,http://www.reno.gov/Home/ShowImage?id=6388&t,,,,,,,,,,,,,,,,,,,,
Sculpture,Vic Chevillon,2005,Grimes Point Rock,West Street Plaza - 220 West 1st Street,http://www.reno.gov/Home/ShowImage?id=316&t,,,,,,,,,,,,,,,,,,,,
Sculpture,Vic Chevillon,2005,Buffalo Mother,West Street Plaza - 220 West 1st Street,http://www.reno.gov/Home/ShowImage?id=317&t,,,,,,,,,,,,,,,,,,,,
