Park Name,GPS,Address,Quadrant,Type Of Park,Acres,TurfAcres,Parking Lots,# of Prk Spaces,# of Hand Spaces,# of Drkg Ftns,Restroom,RR Season,Picnic Area,Reservable,Picnic Shelter,Playground,# of Tennis Courts,# of Lighted Tennis Courts,# of Basketball Courts,# of Volleyball Courts,# of Softball Fields,# of Lighted Softball Fields,# of Little League Fields,# of Lighted LL Fields,# of Soccer Fields,Soccer Field Type,Trails,Trail Surface,Horseshoes,Swimming Pool,Pool Type,Water Body,Parcourse,Water Play Feature
Anderson ES,"	39.494597	-119.809644",1055 Berrum Lane,SW,School,1.18,0.74,No,0,0,0,No,,No,No,No,No,0,0,4,0,0,0,0,0,1,Youth Practice,No,,No,No,,,No,No
Barbara Bennett Park,"	39.523537	-119.817221",400 Island Ave,SW,Neighborhood,2.84,1.5,Yes,39,2,1,Yes,Yearly,No,No,No,Yes,4,2,2,0,0,0,0,0,0,,No,,No,No,,river,No,No
Beck ES,"	39.504513	-119.826149",1900 Sharon Dr,SW,School,1.25,1.25,No,0,0,0,No,,No,No,No,No,0,0,3,0,0,0,0,0,1,Youth Practice,No,,No,No,,,No,No
Bicentennial Park,"	39.52399	-119.819238",10 Ralston St,NW,Neighborhood,1.79,0.6,Yes,20,2,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Billinghurst MS,"	39.52236	-119.893756",6685 Chesterfield Lane,NW,School,3.49,2.76,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,2,0,1,Youth Games,No,,No,No,,,No,No
Brodhead Park,"	39.528995	-119.804337",5 South Park St,SE,Neighborhood,2.01,0.81,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Cannan ES,"	39.550138	-119.78474",2450 Cannan St,NE,School,1.68,1.42,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,2,0,1,Youth Practice,No,,No,No,,,No,No
Canyon Creek Park,"	39.526997	-119.882172",1485 Robb Dr,NW,Neighborhood,4.1,1.49,Yes,28,2,1,Yes,Yearly,Yes,No,Yes,Yes,0,0,0.5,1,0,0,0,0,0,,Yes,Paved,Yes,No,,,Yes,No
Center Creek Park,"	39.438381	-119.736587",1595 Wilbur May Pkwy,SE,Neighborhood,5.64,3.72,Yes,16,2,1,No,,No,No,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Comstock Park,"	39.435477	-119.731919",1650 Carat Dr,SE,Neighborhood,5.37,2.89,Yes,19,1,1,Yes,Seasonal,No,No,Yes,Yes,0,0,0.5,0,0,0,1,0,0,,Yes,Paved,No,No,,stream,No,No
Corbett ES,"	39.510018	-119.784397",1901 Villanova Dr,SE,School,1,0.67,No,0,0,0,No,,No,No,No,No,0,0,3,0,0,0,0,0,0,,No,,No,No,,,No,No
Crissie Caughlin Park,"	39.511025	-119.85235",3415 Idlewild Dr,SW,Neighborhood,5,3.19,Yes,26,2,1,Yes,Yearly,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,,Yes,Paved,Yes,No,,,No,No
Crystal Lake Park,"	39.456302	-119.789238",1190 Country Estates Cir,SW,Neighborhood,5,1.73,Yes,22,2,2,Yes,Seasonal,No,No,Yes,Yes,2,0,1,1,0,0,0,0,0,,Yes,Paved,Yes,No,,,Yes,No
Damonte Ranch Park,"	39.425443	-119.727499",1950 Steamboat Parkway,SE,Neighborhood,8.03,4.5,Yes,19,2,1,Yes,Yearly,No,No,Yes,Yes,0,0,1,0,0,0,0,0,0,,No,,No,No,,,No,No
Depoali Middle School,"	39.450371	-119.734992",9300 Wilbur May Pkwy,SE,Neighborhood,1.34,1.34,Yes,53,2,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,1,Youth Games,No,,No,No,,,No,No
Dick Taylor Park,"	39.541019	-119.810792",1140 Beach St,NE,Neighborhood,14.65,8.23,Yes,158,6,2,Yes,Yearly,Yes,No,Yes,Yes,2,0,4,0,2,0,0,0,0,,Yes,Paved,No,No,,,No,No
Dodson ES,"	39.489882	-119.750931",4355 Houston St,SE,School,2.26,2.26,No,0,0,0,No,,No,No,No,No,0,0,2.5,0,2,0,0,0,2,Youth Practice,No,,No,No,,,No,No
Donner Party Park,"	39.475821	-119.754537",4385 Loreto Lane,SE,Pocket,1.27,1.2,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Dorothy McAlinden,"	39.652411	-119.8756",12000 Mt Charleston,NV,Neighborhood,25,3.5,Yes,37,2,0,Yes,Seasonal,No,No,Yes,Yes,0,0,0,1,0,0,0,0,0,,Yes,Comb,Yes,No,,,No,No
Double Diamond Park,"	39.450362	-119.735523",9100 Wilbur May Pkwy,SE,Community,10,3.5,Yes,116,2,1,Yes,Seasonal,No,No,No,No,0,0,0,0,2,0,0,0,0,,No,,No,No,,,No,No
Downtown Plaza (ice rink),"	39.525371	-119.812777",10 North Virginia,NE,Pocket,1.1,0.25,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Duncan ES,"	39.540932	-119.794352",1200 Montello St,NE,School,0.5,0.4,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,2,0,1,Youth Practice,No,,No,No,,,No,No
Echo Loder ES,"	39.503384	-119.792623",600 Apple St,SE,School,3.03,2.8,No,0,0,0,No,,No,No,No,No,0,0,2,0,1,0,0,0,2,Youth Games,No,,No,No,,,No,No
Eighth Street,"	39.535886	-119.808385",455 East 8th St,NE,Pocket,0.71,0.7,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Evans Park,"	39.53668	-119.813595",200 East 9th St,NE,Neighborhood,2.07,1.37,Yes,28,1,0,Yes,Seasonal,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,Yes,No,,,No,No
Evergreen Park,"	39.441118	-119.748696",9555A Evergreen St,SE,Neighborhood,1.77,0.88,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Fisherman's Park #1,"	39.530341	-119.779946",495 Galetti Way,NE,Neighborhood,5.57,0.59,Yes,22,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,river,No,No
Fisherman's Park #2,"	39.53088	-119.788008",5 Kietzke Lane,NE,Neighborhood,4.03,0.92,Yes,9,2,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,river,No,No
Fulton Corner,"	39.52493	-119.816793","1st & Arlington, SE Corner",NW,Pocket,0.12,0,No,0,0,1,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,river,No,No
Governor's Bowl,"	39.535633	-119.793535",1498 East 7th St,NE,Neighborhood,7.43,2.6,Yes,90,3,1,Yes,Seasonal,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
