"Department","Request Type","Count","District"
"Public Works","PW - street sign: graffiti","43",""
"Public Works","PW - traffic engineering: undefined","43",""
"Public Works","PW - street sign: missing, down, damaged","39",""
"Public Works","PW - traffic signal: timing","32",""
"Public Works","PW - debris: on street","31",""
"Public Works","PW - street repair: pothole","28",""
"Public Works","PW - IPS malfunction and/or refund","27",""
"Public Works","PW - traffic: request for new sign","23",""
"Public Works","PW - capital projects: undefined","21",""
"Public Works","PW - debris: on public property","21",""
"Public Works","PW - street sweeping","14",""
"Public Works","PW - street repair: other","13",""
"Public Works","PW - traffic: line-of-sight obstructions","13",""
"Public Works","PW - parking meter: damaged, not working","12",""
"Public Works","PW - bushes/weeds: city ppty, need trimming","11",""
"Public Works","PW - sidewalk (damaged, trip hazard, etc)","11","Ward 1"
"Public Works","PW - crosswalk: request for new","9",""
"Public Works","PW - downtown maint: undefined","9",""
"Public Works","Waste Management","9","Ward 5"
"Public Works","PW - debris: on public property","8","Ward 1"
"Public Works","PW - sidewalk (damaged, trip hazard, etc)","8",""
"Public Works","PW - street: undefined","8",""
"Public Works","PW - traffic signal: not working","8",""
"Public Works","PW - crosswalk: button not working","7",""
"Public Works","PW - debris: on public property","7","Ward 3"
"Public Works","PW - environmental: undefined","7",""
"Public Works","PW - street sign: missing, down, damaged","7","Ward 1"
"Public Works","PW - street sign: obstructed by bush/tree","7",""
"Public Works","PW - capitol projects: crack seal request","6",""
"Public Works","PW - manhole: cover missing","6",""
"Public Works","PW - red curb: request for new","6",""
"Public Works","PW - traffic engineering: undefined","6","Ward 1"
"Public Works","Waste Management","6",""
"Public Works","PW - capital projects: undefined","5","Ward 1"
"Public Works","PW - debris: on street","5","Ward 1"
"Public Works","PW - environmental: vehicle leaking","5","Ward 3"
"Public Works","PW - storm drain","5","Ward 2"
"Public Works","PW - traffic engineering: undefined","5","Ward 3"
"Public Works","Street sign","5",""
"Public Works","Waste Management","5","Ward 1"
"Public Works","PW - capital projects: undefined","4","Ward 3"
"Public Works","PW - debris: on public property","4","Ward 5"
"Public Works","PW - debris: on street","4","Ward 2"
"Public Works","PW - debris: on street","4","Ward 3"
"Public Works","PW - debris: on street","4","Ward 4"
"Public Works","PW - ditch: debris in ditch","4",""
"Public Works","PW - maint & ops: undefined","4",""
"Public Works","PW - sidewalk (damaged, trip hazard, etc)","4","Ward 5 Police SAD"
"Public Works","PW - storm drain","4",""
"Public Works","PW - street: markings need re-painting","4",""
"Public Works","PW - street: undefined","4","Ward 1"
"Public Works","PW - traffic engineering: undefined","4","Ward 4"
"Public Works","Waste Management","4","Ward 2"
"Public Works","PW - bushes/weeds: city ppty, need trimming","3","Ward 4"
"Public Works","PW - capital projects: undefined","3","Ward 5"
"Public Works","PW - ditch: debris in ditch","3","Ward 2"
"Public Works","PW - IPS malfunction and/or refund","3","Ward 5 Police SAD"
"Public Works","PW - parking meter: damaged, not working","3","Ward 5"
"Public Works","PW - parking meter: other","3",""
"Public Works","PW - red curb: request for new","3","Ward 3"
"Public Works","PW - school zone flasher not working","3",""
"Public Works","PW - sewer: overflowing, backing up","3","Ward 4"
"Public Works","PW - sidewalk (damaged, trip hazard, etc)","3","Ward 3"
"Public Works","PW - street repair: other","3","Ward 2"
"Public Works","PW - street sign: graffiti","3","Ward 1"
"Public Works","PW - street sign: graffiti","3","Ward 3"
"Public Works","PW - traffic calming devices: damaged","3",""
"Public Works","PW - traffic: line-of-sight obstructions","3","Ward 5"
"Public Works","Street sign","3","Ward 3"
"Public Works","Waste Management","3","Ward 3"
"Public Works","Waste Management","3","Ward 3 Police SAD"
"Public Works","Crack/patch fill","2","Ward 5"
"Public Works","PW - bushes/weeds: city ppty, need trimming","2","Ward 5"
"Public Works","PW - capitol projects: crack seal request","2","Ward 1"
"Public Works","PW - debris: on street","2","Ward 5"
"Public Works","PW - ditch: debris in ditch","2","Ward 1"
"Public Works","PW - downtown maint: undefined","2","Ward 3 Police SAD"
"Public Works","PW - environmental: undefined","2","Ward 2"
"Public Works","PW - environmental: undefined","2","Ward 4"
"Public Works","PW - environmental: vehicle leaking","2","Ward 2"
"Public Works","PW - environmental: vehicle leaking","2","Ward 4"
"Public Works","PW - IPS other issues","2",""
"Public Works","PW - maint & ops: undefined","2","Ward 3"
"Public Works","PW - maint & ops: undefined","2","Ward 5"
"Public Works","PW - paint & sign: undefined","2",""
"Public Works","PW - paint & sign: undefined","2","Ward 1"
"Public Works","PW - paint & sign: undefined","2","Ward 3"
"Public Works","PW - parking meter: damaged, not working","2","Ward 5 Police SAD"
"Public Works","PW - sewer: overflowing, backing up","2","Ward 1"
"Public Works","PW - sidewalk (damaged, trip hazard, etc)","2","Ward 2"
"Public Works","PW - sidewalk (damaged, trip hazard, etc)","2","Ward 5"
"Public Works","PW - storm drain","2","Ward 5"
"Public Works","PW - street repair: other","2","Ward 3"
"Public Works","PW - street sign: missing, down, damaged","2","Ward 2"
"Public Works","PW - street sign: missing, down, damaged","2","Ward 4"
"Public Works","PW - street sweeping","2","Ward 1"
"Public Works","PW - traffic engineering: undefined","2","Ward 2"
"Public Works","PW - traffic engineering: undefined","2","Ward 5"
"Public Works","PW - traffic engineering: undefined","2","Ward 5 Police SAD"
"Public Works","PW - traffic: request for new sign","2","Ward 1"
"Public Works","Repair","2",""
"Public Works","Repair","2","Ward 5"
"Public Works","Street","2",""
"Public Works","Waste Management","2","Ward 4"
"Public Works","Crack/patch fill","1",""
"Public Works","Leaking fluids","1","Ward 1"
"Public Works","Parking meter malfunction","1",""
